abbr,name
AAC,American Athletic Conference
ACC,Atlantic Coast Conference
BIG10,Big Ten Conference
BIG12,Big 12 Conference
C-USA,Conference USA
MAC,Mid-American Conference
MWC,Mountain West Conference
PAC12,Pacific-12 Conference
SEC,Southeastern Conference
SUNB,Sun Belt Conference
