id,name,thumbnail
LU,Liberty,http://l.yimg.com/j/assets/i/us/sp/v/ncaaf/teams/83/70x70/lle.png
MARQ,Marquette,http://l.yimg.com/j/assets/i/us/sp/v/ncaab/teams/83/70x70/maf.png
MARS,Marshall,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/mmc.gif
MASS,Massachusetts,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/mme.gif
MD,Maryland,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/mmd.gif
MEMP,Memphis,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/mmg.gif
MIAF,Miami (FL),http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/mmi.gif
MIAO,Miami (OH),http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/mmj.gif
MICH,Michigan,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/mmk.gif
MINN,Minnesota,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/mmn_1.gif
MISS,Ole Miss,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/mmo_2.gif
MIST,Michigan State,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/mml.gif
MO,Missouri,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/mms_2.gif
MONT,Montana,http://l.yimg.com/j/assets/i/us/sp/v/ncaaf/teams/83/70x70/mmu.png
MSST,Mississippi State,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/mmq_2.gif
MTSU,Middle Tenn. State,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/mmm.gif
NAVY,Navy,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/nna.gif
NCAT,North Carolina A&T,http://l.yimg.com/j/assets/i/us/sp/v/ncaab/teams/83/70x70/nas.png
NCST,N.C. State,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/nnn_2.gif
ND,Notre Dame,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/nnx.gif
NEB,Nebraska,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/nnd.gif
NEV,Nevada,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/nnf_2.gif
NIU,Northern Illinois,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/nns.gif
NMSU,New Mexico State,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/nni.gif
NW,Northwestern,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/nnv.gif
NWST,Northwestern St.,http://l.yimg.com/j/assets/i/us/sp/v/ncaab/teams/83/70x70/nbe.png
OHIO,Ohio,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ooa.gif
OHST,Ohio State,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/oob.gif
OKLA,Oklahoma,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ooc.gif
OKST,Oklahoma State,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ood.gif
ORE,Oregon,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ooe.gif
ORST,Oregon State,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/oof.gif
PAC,Pacific,http://l.yimg.com/j/assets/i/us/sp/v/ncaab/teams/83/70x70/pab.png
PITT,Pittsburgh,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ppd_1.gif
PSU,Penn State,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ppb_2.gif
PURD,Purdue,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ppj.gif
RICE,Rice,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/rrb2.gif
RUT,Rutgers,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/3/50x50w/rrd_50x50w_2.jpg
SCAR,South Carolina,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ssi.gif
SDST,South Dakota St.,http://l.yimg.com/j/assets/i/us/sp/v/ncaab/teams/83/70x70/sds.png
SDSU,San Diego State,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ssb.gif
SFLA,South Florida,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/sbn.gif
SJSU,San Jose State,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ssc.gif
SMU,Southern Methodist,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ssh2.gif
SOAL,South Ala.,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/sal.gif
SOU,Southern University,http://l.yimg.com/j/assets/i/us/sp/v/ncaab/teams/83/70x70/sbh.png
STAN,Stanford,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/sss3.gif
STL,Saint Louis,http://l.yimg.com/j/assets/i/us/sp/v/ncaab/teams/83/70x70/sbr.png
STMA,Saint Mary's,http://l.yimg.com/j/assets/i/us/sp/v/ncaab/teams/83/70x70/sbt.png
SYRA,Syracuse,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/syc-2.jpg
TAMU,Texas A&M,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ttj.gif
TCU,TCU,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/tta.gif
TEM,Temple,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ttb.gif
TENN,Tennessee,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ttd.gif
TEX,Texas,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/tth.gif
TEXT,Texas Tech,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/tto.gif
TOL,Toledo,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ttp.gif
TROY,Troy,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ttv.gif
TULA,Tulane,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/tts.gif
TULS,Tulsa,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ttt.gif
TXST,Texas State,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ssv.gif
UAB,UAB,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/aaz.gif
UCF,UCF,http://l.yimg.com/a/i/us/sp/v/ncaab/teams/1/50x50w/ccf2.gif
UCLA,UCLA,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/uua.gif
UGA,Georgia,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ggb.gif
UK,Kentucky,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/kkd.gif
ULL,La.-Lafayette,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/laf-2.jpg
ULM,La.-Monroe,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/nnb2.gif
UNC,North Carolina,http://l.yimg.com/a/i/us/sp/v/mls/teams/50x50w/nc-2.gif
UNLV,UNLV,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/nne.gif
UNM,New Mexico,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/nnh.gif
UNT,North Texas,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/nnp.gif
USC,USC,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/uub.gif
USM,Southern Miss,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/sso_2.gif
UTAH,Utah,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/uuc.gif
UTEP,UTEP,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/ttl.gif
UTSA,UTSA,http://l.yimg.com/a/i/us/sp/v/ncaaf/teams/1/50x50w/tsa.gif
